p1,p2,p3,p4,p5,p6,p7,p8,p9,params,powers
0,0,1,0,1,1,0,0,1,4,4
0,0,1,0,1,1,0,1,0,2,2
0,0,1,0,1,1,0,1,1,-5,-5
0,0,1,0,1,1,1,0,0,2,2
0,0,1,0,1,1,1,0,1,0,0
0,0,1,0,1,1,1,1,0,-2,-2
0,0,1,0,1,1,1,1,1,-10,-10
0,0,1,1,0,0,0,0,0,16,16
0,0,1,1,0,0,0,0,1,10,10
0,0,1,1,0,0,0,1,0,6,6
0,0,1,1,0,0,0,1,1,2,2
0,0,1,1,0,0,1,0,0,12,12
0,0,1,1,0,0,1,0,1,4,4
0,0,1,1,0,0,1,1,0,8,8
0,0,1,1,0,0,1,1,1,-4,-4
0,0,1,1,0,1,0,0,0,13,13
0,0,1,1,0,1,0,0,1,6,6
0,0,1,1,0,1,0,1,0,9,9
0,0,1,1,0,1,0,1,1,-1,-1
0,0,1,1,0,1,1,0,0,7,7
0,0,1,1,0,1,1,0,1,-2,-2
0,0,1,1,0,1,1,1,0,-3,-3
0,0,1,1,0,1,1,1,1,-8,-8
0,0,1,1,1,0,0,0,0,15,15
0,0,1,1,1,0,0,0,1,6,6
0,0,1,1,1,0,0,1,0,4,4
0,0,1,1,1,0,0,1,1,-3,-3
0,0,1,1,1,0,1,0,0,9,9
0,0,1,1,1,0,1,0,1,-3,-3
0,0,1,1,1,0,1,1,0,-4,-4
0,0,1,1,1,0,1,1,1,-11,-11
0,0,1,1,1,1,0,0,0,8,8
0,0,1,1,1,1,0,0,1,-2,-2
0,0,1,1,1,1,0,1,0,-1,-1
0,0,1,1,1,1,0,1,1,-9,-9
0,0,1,1,1,1,1,0,0,-1,-1
0,0,1,1,1,1,1,0,1,-11,-11
0,0,1,1,1,1,1,1,0,-13,-13
0,0,1,1,1,1,1,1,1,-23,-23
0,1,0,0,0,0,0,0,0,20,19
0,1,0,0,0,0,0,0,1,16,16
0,1,0,0,0,0,0,1,0,14,14
0,1,0,0,0,0,0,1,1,12,12
0,1,0,0,0,0,1,0,0,20,20
0,1,0,0,0,0,1,0,1,14,14
0,1,0,0,0,0,1,1,0,7,7
0,1,0,0,0,0,1,1,1,4,4
0,1,0,0,0,1,0,0,0,21,21
0,1,0,0,0,1,0,0,1,8,8
0,1,0,0,0,1,0,1,0,13,13
0,1,0,0,0,1,0,1,1,7,7
0,1,0,0,0,1,1,0,0,15,15
0,1,0,0,0,1,1,0,1,6,6
0,1,0,0,0,1,1,1,0,1,1
0,1,0,0,0,1,1,1,1,-2,-2
0,1,0,0,1,0,0,0,0,17,17
0,1,0,0,1,0,0,0,1,15,15
0,1,0,0,1,0,0,1,0,10,10
0,1,0,0,1,0,0,1,1,4,4
0,1,0,0,1,0,1,0,0,5,5
0,1,0,0,1,0,1,0,1,8,8
0,1,0,0,1,0,1,1,0,3,3
0,1,0,0,1,0,1,1,1,-1,-1
0,1,0,0,1,1,0,0,0,13,13
0,1,0,0,1,1,0,0,1,15,15
0,1,0,0,1,1,0,1,0,6,6
0,1,0,0,1,1,0,1,1,-2,-2
0,1,0,0,1,1,1,0,0,6,6
0,1,0,0,1,1,1,0,1,-2,-2
0,1,0,0,1,1,1,1,0,-2,-2
0,1,0,0,1,1,1,1,1,-19,-19
0,1,0,1,0,0,0,0,0,9,9
0,1,0,1,0,0,0,0,1,9,9
0,1,0,1,0,0,0,1,0,10,10
0,1,0,1,0,0,0,1,1,11,11
0,1,0,1,0,0,1,0,0,7,7
0,1,0,1,0,0,1,0,1,8,8
0,1,0,1,0,0,1,1,0,9,9
0,1,0,1,0,0,1,1,1,-5,-5
0,1,0,1,0,1,0,0,0,11,11
0,1,0,1,0,1,0,0,1,5,5
0,1,0,1,0,1,0,1,0,3,3
0,1,0,1,0,1,0,1,1,-8,-8
0,1,0,1,0,1,1,0,0,12,12
0,1,0,1,0,1,1,0,1,4,4
0,1,0,1,0,1,1,1,0,0,0
0,1,0,1,0,1,1,1,1,-16,-16
0,1,0,1,1,0,0,0,0,9,9
0,1,0,1,1,0,0,0,1,6,6
0,1,0,1,1,0,0,1,0,7,7
0,1,0,1,1,0,0,1,1,-2,-2
0,1,0,1,1,0,1,0,0,3,3
0,1,0,1,1,0,1,0,1,1,1
0,1,0,1,1,0,1,1,0,-1,-1
0,1,0,1,1,0,1,1,1,-7,-7
0,1,0,1,1,1,0,0,0,6,6
0,1,0,1,1,1,0,0,1,-1,-1
0,1,0,1,1,1,0,1,0,0,0
0,1,0,1,1,1,0,1,1,-14,-14
0,1,0,1,1,1,1,0,0,-6,-6
0,1,0,1,1,1,1,0,1,-14,-14
0,1,0,1,1,1,1,1,0,-10,-10
0,1,0,1,1,1,1,1,1,-13,-13
0,1,1,0,0,0,0,0,0,20,20
0,1,1,0,0,0,0,0,1,7,7
0,1,1,0,0,0,0,1,0,10,10
0,1,1,0,0,0,0,1,1,6,6
0,1,1,0,0,0,1,0,0,18,18
0,1,1,0,0,0,1,0,1,9,9
0,1,1,0,0,0,1,1,0,3,3
0,1,1,0,0,0,1,1,1,0,0
0,1,1,0,0,1,0,0,0,20,20
0,1,1,0,0,1,0,0,1,4,4
0,1,1,0,0,1,0,1,0,6,6
0,1,1,0,0,1,0,1,1,-3,-3
0,1,1,0,0,1,1,0,0,6,6
0,1,1,0,0,1,1,0,1,-1,-1
0,1,1,0,0,1,1,1,0,1,1
0,1,1,0,0,1,1,1,1,-6,-6
0,1,1,0,1,0,0,0,0,18,18
0,1,1,0,1,0,0,0,1,6,6
0,1,1,0,1,0,0,1,0,2,2
0,1,1,0,1,0,0,1,1,-6,-6
0,1,1,0,1,0,1,0,0,7,7
0,1,1,0,1,0,1,0,1,-1,-1
0,1,1,0,1,0,1,1,0,-5,-5
0,1,1,0,1,0,1,1,1,-9,-9
0,1,1,0,1,1,0,0,0,6,6
0,1,1,0,1,1,0,0,1,2,2
0,1,1,0,1,1,0,1,0,-5,-5
0,1,1,0,1,1,0,1,1,-12,-12
0,1,1,0,1,1,1,0,0,-4,-4
0,1,1,0,1,1,1,0,1,-15,-15
0,1,1,0,1,1,1,1,0,-8,-8
0,1,1,0,1,1,1,1,1,-17,-17
0,1,1,1,0,0,0,0,0,8,8
0,1,1,1,0,0,0,0,1,7,7
0,1,1,1,0,0,0,1,0,11,11
0,1,1,1,0,0,0,1,1,-1,-1
0,1,1,1,0,0,1,0,0,2,2
0,1,1,1,0,0,1,0,1,0,0
0,1,1,1,0,0,1,1,0,-7,-7
0,1,1,1,0,0,1,1,1,-13,-13
0,1,1,1,0,1,0,0,0,6,6
0,1,1,1,0,1,0,0,1,1,1
0,1,1,1,0,1,0,1,0,-4,-4
0,1,1,1,0,1,0,1,1,-10,-10
0,1,1,1,0,1,1,0,0,0,0
0,1,1,1,0,1,1,0,1,-14,-14
0,1,1,1,0,1,1,1,0,-14,-14
0,1,1,1,0,1,1,1,1,-22,-22
0,1,1,1,1,0,0,0,0,11,11
0,1,1,1,1,0,0,0,1,2,2
0,1,1,1,1,0,0,1,0,-2,-2
0,1,1,1,1,0,0,1,1,-10,-10
0,1,1,1,1,0,1,0,0,-6,-6
0,1,1,1,1,0,1,0,1,-9,-9
0,1,1,1,1,0,1,1,0,-12,-12
0,1,1,1,1,0,1,1,1,-21,-21
0,1,1,1,1,1,0,0,0,-3,-3
0,1,1,1,1,1,0,0,1,-13,-13
0,1,1,1,1,1,0,1,0,-6,-6
0,1,1,1,1,1,0,1,1,-26,-26
0,1,1,1,1,1,1,0,0,-9,-9
0,1,1,1,1,1,1,0,1,-24,-24
0,1,1,1,1,1,1,1,0,-28,-28
0,1,1,1,1,1,1,1,1,-53,-53
1,0,0,0,0,0,0,0,0,17,16
1,0,0,0,0,0,0,0,1,16,16
1,0,0,0,0,0,0,1,0,17,17
1,0,0,0,0,0,0,1,1,15,15
1,0,0,0,0,0,1,0,0,18,18
1,0,0,0,0,0,1,0,1,15,15
1,0,0,0,0,0,1,1,0,15,15
1,0,0,0,0,0,1,1,1,13,13
1,0,0,0,0,1,0,0,0,23,23
1,0,0,0,0,1,0,0,1,15,15
1,0,0,0,0,1,0,1,0,20,20
1,0,0,0,0,1,0,1,1,8,8
1,0,0,0,0,1,1,0,0,17,17
1,0,0,0,0,1,1,0,1,3,3
1,0,0,0,0,1,1,1,0,4,4
1,0,0,0,0,1,1,1,1,-1,-1
1,0,0,0,1,0,0,0,0,22,22
1,0,0,0,1,0,0,0,1,13,13
1,0,0,0,1,0,0,1,0,12,12
1,0,0,0,1,0,0,1,1,5,5
1,0,0,0,1,0,1,0,0,18,18
1,0,0,0,1,0,1,0,1,3,3
1,0,0,0,1,0,1,1,0,13,13
1,0,0,0,1,0,1,1,1,-2,-2
1,0,0,0,1,1,0,0,0,15,15
1,0,0,0,1,1,0,0,1,5,5
1,0,0,0,1,1,0,1,0,3,3
1,0,0,0,1,1,0,1,1,-3,-3
1,0,0,0,1,1,1,0,0,8,8
1,0,0,0,1,1,1,0,1,1,1
1,0,0,0,1,1,1,1,0,-4,-4
1,0,0,0,1,1,1,1,1,-8,-8
1,0,0,1,0,0,0,0,0,18,18
1,0,0,1,0,0,0,0,1,13,13
1,0,0,1,0,0,0,1,0,14,14
1,0,0,1,0,0,0,1,1,5,5
1,0,0,1,0,0,1,0,0,17,17
1,0,0,1,0,0,1,0,1,4,4
1,0,0,1,0,0,1,1,0,12,12
1,0,0,1,0,0,1,1,1,0,0
1,0,0,1,0,1,0,0,0,17,17
1,0,0,1,0,1,0,0,1,7,7
1,0,0,1,0,1,0,1,0,7,7
1,0,0,1,0,1,0,1,1,0,0
1,0,0,1,0,1,1,0,0,7,7
1,0,0,1,0,1,1,0,1,1,1
1,0,0,1,0,1,1,1,0,-1,-1
1,0,0,1,0,1,1,1,1,-9,-9
1,0,0,1,1,0,0,0,0,16,16
1,0,0,1,1,0,0,0,1,5,5
1,0,0,1,1,0,0,1,0,5,5
1,0,0,1,1,0,0,1,1,0,0
1,0,0,1,1,0,1,0,0,3,3
1,0,0,1,1,0,1,0,1,-3,-3
1,0,0,1,1,0,1,1,0,0,0
1,0,0,1,1,0,1,1,1,-11,-11
1,0,0,1,1,1,0,0,0,12,12
1,0,0,1,1,1,0,0,1,-2,-2
1,0,0,1,1,1,0,1,0,-6,-6
1,0,0,1,1,1,0,1,1,-7,-7
1,0,0,1,1,1,1,0,0,-5,-5
1,0,0,1,1,1,1,0,1,-14,-14
1,0,0,1,1,1,1,1,0,-10,-10
1,0,0,1,1,1,1,1,1,-24,-24
1,0,1,0,0,0,0,0,0,29,29
1,0,1,0,0,0,0,0,1,13,13
1,0,1,0,0,0,0,1,0,15,15
1,0,1,0,0,0,0,1,1,6,6
1,0,1,0,0,0,1,0,0,21,21
1,0,1,0,0,0,1,0,1,9,9
1,0,1,0,0,0,1,1,0,9,9
1,0,1,0,0,0,1,1,1,-2,-2
1,0,1,0,0,1,0,0,0,16,16
1,0,1,0,0,1,0,0,1,9,9
1,0,1,0,0,1,0,1,0,3,3
1,0,1,0,0,1,0,1,1,0,0
1,0,1,0,0,1,1,0,0,8,8
1,0,1,0,0,1,1,0,1,1,1
1,0,1,0,0,1,1,1,0,-2,-2
1,0,1,0,0,1,1,1,1,-3,-3
1,0,1,0,1,0,0,0,0,14,14
1,0,1,0,1,0,0,0,1,4,4
1,0,1,0,1,0,0,1,0,13,13
1,0,1,0,1,0,0,1,1,2,2
1,0,1,0,1,0,1,0,0,7,7
1,0,1,0,1,0,1,0,1,4,4
1,0,1,0,1,0,1,1,0,-5,-5
1,0,1,0,1,0,1,1,1,-12,-12
1,0,1,0,1,1,0,0,0,8,8
1,0,1,0,1,1,0,0,1,0,0
1,0,1,0,1,1,0,1,0,-2,-2
1,0,1,0,1,1,0,1,1,-12,-12
1,0,1,0,1,1,1,0,0,0,0
1,0,1,0,1,1,1,0,1,-12,-12
1,0,1,0,1,1,1,1,0,-13,-13
1,0,1,0,1,1,1,1,1,-28,-28
1,0,1,1,0,0,0,0,0,18,18
1,0,1,1,0,0,0,0,1,7,7
1,0,1,1,0,0,0,1,0,6,6
1,0,1,1,0,0,0,1,1,-3,-3
1,0,1,1,0,0,1,0,0,10,10
1,0,1,1,0,0,1,0,1,2,2
1,0,1,1,0,0,1,1,0,1,1
1,0,1,1,0,0,1,1,1,-7,-7
1,0,1,1,0,1,0,0,0,-1,-1
1,0,1,1,0,1,0,0,1,-1,-1
1,0,1,1,0,1,0,1,0,-2,-2
1,0,1,1,0,1,0,1,1,-9,-9
1,0,1,1,0,1,1,0,0,2,2
1,0,1,1,0,1,1,0,1,-8,-8
1,0,1,1,0,1,1,1,0,-5,-5
1,0,1,1,0,1,1,1,1,-23,-23
1,0,1,1,1,0,0,0,0,7,7
1,0,1,1,1,0,0,0,1,-8,-8
1,0,1,1,1,0,0,1,0,5,5
1,0,1,1,1,0,0,1,1,-13,-13
1,0,1,1,1,0,1,0,0,-2,-2
1,0,1,1,1,0,1,0,1,-11,-11
1,0,1,1,1,0,1,1,0,-14,-14
1,0,1,1,1,0,1,1,1,-29,-29
1,0,1,1,1,1,0,0,0,1,1
1,0,1,1,1,1,0,0,1,-12,-12
1,0,1,1,1,1,0,1,0,-6,-6
1,0,1,1,1,1,0,1,1,-24,-24
1,0,1,1,1,1,1,0,0,-6,-6
1,0,1,1,1,1,1,0,1,-24,-24
1,0,1,1,1,1,1,1,0,-16,-16
1,0,1,1,1,1,1,1,1,-56,-56
1,1,0,0,0,0,0,0,0,32,32
1,1,0,0,0,0,0,0,1,23,23
1,1,0,0,0,0,0,1,0,11,11
1,1,0,0,0,0,0,1,1,11,11
1,1,0,0,0,0,1,0,0,18,18
1,1,0,0,0,0,1,0,1,10,10
1,1,0,0,0,0,1,1,0,11,11
1,1,0,0,0,0,1,1,1,-6,-6
1,1,0,0,0,1,0,0,0,18,18
1,1,0,0,0,1,0,0,1,12,12
1,1,0,0,0,1,0,1,0,12,12
1,1,0,0,0,1,0,1,1,-1,-1
1,1,0,0,0,1,1,0,0,9,9
1,1,0,0,0,1,1,0,1,0,0
1,1,0,0,0,1,1,1,0,2,2
1,1,0,0,0,1,1,1,1,-9,-9
1,1,0,0,1,0,0,0,0,17,17
1,1,0,0,1,0,0,0,1,6,6
1,1,0,0,1,0,0,1,0,9,9
1,1,0,0,1,0,0,1,1,2,2
1,1,0,0,1,0,1,0,0,12,12
1,1,0,0,1,0,1,0,1,4,4
1,1,0,0,1,0,1,1,0,-2,-2
1,1,0,0,1,0,1,1,1,-8,-8
1,1,0,0,1,1,0,0,0,5,5
1,1,0,0,1,1,0,0,1,-1,-1
1,1,0,0,1,1,0,1,0,-3,-3
1,1,0,0,1,1,0,1,1,-9,-9
1,1,0,0,1,1,1,0,0,-1,-1
1,1,0,0,1,1,1,0,1,-8,-8
1,1,0,0,1,1,1,1,0,-11,-11
1,1,0,0,1,1,1,1,1,-21,-21
1,1,0,1,0,0,0,0,0,14,14
1,1,0,1,0,0,0,0,1,13,13
1,1,0,1,0,0,0,1,0,9,9
1,1,0,1,0,0,0,1,1,-1,-1
1,1,0,1,0,0,1,0,0,8,8
1,1,0,1,0,0,1,0,1,-1,-1
1,1,0,1,0,0,1,1,0,1,1
1,1,0,1,0,0,1,1,1,-13,-13
1,1,0,1,0,1,0,0,0,15,15
1,1,0,1,0,1,0,0,1,1,1
1,1,0,1,0,1,0,1,0,-4,-4
1,1,0,1,0,1,0,1,1,-8,-8
1,1,0,1,0,1,1,0,0,-2,-2
1,1,0,1,0,1,1,0,1,-11,-11
1,1,0,1,0,1,1,1,0,-8,-8
1,1,0,1,0,1,1,1,1,-25,-25
1,1,0,1,1,0,0,0,0,9,9
1,1,0,1,1,0,0,0,1,1,1
1,1,0,1,1,0,0,1,0,-1,-1
1,1,0,1,1,0,0,1,1,-12,-12
1,1,0,1,1,0,1,0,0,-1,-1
1,1,0,1,1,0,1,0,1,-9,-9
1,1,0,1,1,0,1,1,0,-8,-8
1,1,0,1,1,0,1,1,1,-20,-20
1,1,0,1,1,1,0,0,0,-3,-3
1,1,0,1,1,1,0,0,1,-13,-13
1,1,0,1,1,1,0,1,0,-6,-6
1,1,0,1,1,1,0,1,1,-21,-21
1,1,0,1,1,1,1,0,0,-6,-6
1,1,0,1,1,1,1,0,1,-22,-22
1,1,0,1,1,1,1,1,0,-23,-23
1,1,0,1,1,1,1,1,1,-59,-59
1,1,1,0,0,0,0,0,0,11,11
1,1,1,0,0,0,0,0,1,12,12
1,1,1,0,0,0,0,1,0,7,7
1,1,1,0,0,0,0,1,1,3,3
1,1,1,0,0,0,1,0,0,11,11
1,1,1,0,0,0,1,0,1,2,2
1,1,1,0,0,0,1,1,0,-1,-1
1,1,1,0,0,0,1,1,1,-12,-12
1,1,1,0,0,1,0,0,0,10,10
1,1,1,0,0,1,0,0,1,-1,-1
1,1,1,0,0,1,0,1,0,-3,-3
1,1,1,0,0,1,0,1,1,-7,-7
1,1,1,0,0,1,1,0,0,-5,-5
1,1,1,0,0,1,1,0,1,-12,-12
1,1,1,0,0,1,1,1,0,-10,-10
1,1,1,0,0,1,1,1,1,-16,-16
1,1,1,0,1,0,0,0,0,11,11
1,1,1,0,1,0,0,0,1,-5,-5
1,1,1,0,1,0,0,1,0,-1,-1
1,1,1,0,1,0,0,1,1,-8,-8
1,1,1,0,1,0,1,0,0,0,0
1,1,1,0,1,0,1,0,1,-11,-11
1,1,1,0,1,0,1,1,0,-10,-10
1,1,1,0,1,0,1,1,1,-31,-31
1,1,1,0,1,1,0,0,0,-5,-5
1,1,1,0,1,1,0,0,1,-6,-6
1,1,1,0,1,1,0,1,0,-7,-7
1,1,1,0,1,1,0,1,1,-16,-16
1,1,1,0,1,1,1,0,0,-11,-11
1,1,1,0,1,1,1,0,1,-19,-19
1,1,1,0,1,1,1,1,0,-25,-25
1,1,1,0,1,1,1,1,1,-56,-56
1,1,1,1,0,0,0,0,0,8,8
1,1,1,1,0,0,0,0,1,-1,-1
1,1,1,1,0,0,0,1,0,3,3
1,1,1,1,0,0,0,1,1,-14,-14
1,1,1,1,0,0,1,0,0,3,3
1,1,1,1,0,0,1,0,1,-10,-10
1,1,1,1,0,0,1,1,0,-6,-6
1,1,1,1,0,0,1,1,1,-24,-24
1,1,1,1,0,1,0,0,0,-2,-2
1,1,1,1,0,1,0,0,1,-8,-8
1,1,1,1,0,1,0,1,0,-13,-13
1,1,1,1,0,1,0,1,1,-24,-24
1,1,1,1,0,1,1,0,0,-13,-13
1,1,1,1,0,1,1,0,1,-26,-26
1,1,1,1,0,1,1,1,0,-27,-27
1,1,1,1,0,1,1,1,1,-48,-48
1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,1,0,0,0,1,-8,-8
1,1,1,1,1,0,0,1,0,-15,-15
1,1,1,1,1,0,0,1,1,-21,-21
1,1,1,1,1,0,1,0,0,-5,-5
1,1,1,1,1,0,1,0,1,-25,-25
1,1,1,1,1,0,1,1,0,-25,-25
1,1,1,1,1,0,1,1,1,-58,-58
1,1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,1,0,0,1,-29,-29
1,1,1,1,1,1,0,1,0,-26,-26
1,1,1,1,1,1,0,1,1,-42,-42
1,1,1,1,1,1,1,0,0,-26,-26
1,1,1,1,1,1,1,0,1,-60,-60
1,1,1,1,1,1,1,1,0,-48,-48
1,1,1,1,1,1,1,1,1,-123,-123
